Acession;Genotype;Country;Date
AY549583;East-Central-South-African;Democratic Republic of the Congo;2000
AY549584;East-Central-South-African;Democratic Republic of the Congo;2000
DQ443544;East-Central-South-African;Reunion;2006
DQ451149;East-Central-South-African;Reunion;2006
DQ462746;East-Central-South-African;Reunion;2006
DQ462747;East-Central-South-African;Reunion;2006
DQ462748;East-Central-South-African;Reunion;2006
DQ489787;East-Central-South-African;Hong Kong;2006
DQ489788;East-Central-South-African;Hong Kong;2006
DQ520734;East-Central-South-African;India;2006
DQ520735;East-Central-South-African;India;2006
DQ520736;East-Central-South-African;India;2006
DQ520737;East-Central-South-African;India;2005
DQ520738;East-Central-South-African;India;2006
DQ520739;East-Central-South-African;India;2006
DQ520742;East-Central-South-African;India;2006
DQ520743;East-Central-South-African;India;2006
DQ520744;East-Central-South-African;India;2006
DQ520745;East-Central-South-African;India;2006
DQ520746;Asian and Caribbean;India;2006
DQ520755;East-Central-South-African;India;2005
DQ520756;East-Central-South-African;India;2005
DQ520765;East-Central-South-African;India;2005
DQ520766;East-Central-South-African;India;2005
DQ520767;East-Central-South-African;India;2006
DQ520768;East-Central-South-African;India;2006
DQ520769;East-Central-South-African;India;2006
DQ520770;East-Central-South-African;India;2006
DQ520771;East-Central-South-African;India;2006
DQ520772;East-Central-South-African;India;2006
DQ520773;East-Central-South-African;India;2006
DQ520774;East-Central-South-African;India;2005
DQ520775;East-Central-South-African;India;2006
DQ520776;East-Central-South-African;India;2006
DQ520777;East-Central-South-African;India;2006
DQ520778;East-Central-South-African;India;2006
DQ520779;East-Central-South-African;India;2006
DQ520780;East-Central-South-African;India;2006
DQ520781;East-Central-South-African;India;2006
DQ520782;East-Central-South-African;India;2006
DQ520783;East-Central-South-African;India;2006
DQ520784;East-Central-South-African;India;2006
DQ520785;East-Central-South-African;India;2006
DQ520786;East-Central-South-African;India;2006
DQ520787;East-Central-South-African;India;2006
DQ520788;East-Central-South-African;India;2006
DQ520789;East-Central-South-African;India;2006
DQ520790;East-Central-South-African;India;2006
DQ520791;East-Central-South-African;India;2006
DQ678928;East-Central-South-African;Australia;2006
DQ888620;East-Central-South-African;India;2006
DQ909008;East-Central-South-African;India;2005
EF027134;East-Central-South-African;India;2006
EF027135;East-Central-South-African;India;2006
EF027136;East-Central-South-African;India;2006
EF027137;East-Central-South-African;India;2006
EF027138;East-Central-South-African;India;2006
EF187882;East-Central-South-African;India;2006
EF187883;East-Central-South-African;India;2006
EF187884;East-Central-South-African;India;2006
EF187885;East-Central-South-African;India;2006
EF187886;East-Central-South-African;India;2006
EF187887;East-Central-South-African;India;2006
EF187888;East-Central-South-African;India;2006
EF187889;East-Central-South-African;India;2006
EF187890;East-Central-South-African;India;2006
EF187891;East-Central-South-African;India;2006
EF187892;East-Central-South-African;India;2006
EF187893;East-Central-South-African;India;2006
EF187894;East-Central-South-African;India;2006
EF187895;East-Central-South-African;India;2006
EF187896;East-Central-South-African;India;2006
EF187897;East-Central-South-African;India;2006
EF187898;East-Central-South-African;India;2006
EF187899;East-Central-South-African;India;2006
EF187900;East-Central-South-African;India;2006
EF187901;East-Central-South-African;India;2006
EF187902;East-Central-South-African;India;2006
EF187903;East-Central-South-African;India;2006
EF187904;East-Central-South-African;India;2006
EF187905;East-Central-South-African;India;2006
EF187906;East-Central-South-African;India;2006
EF193853;East-Central-South-African;Mauritius;2006
EF193854;East-Central-South-African;Seychelles;2006
EF193855;East-Central-South-African;Mauritius;2006
EF193856;East-Central-South-African;India;2006
EF193857;East-Central-South-African;India;2006
EF193858;East-Central-South-African;India;2006
EF193859;East-Central-South-African;India;2006
EF210157;East-Central-South-African;India;2006
EF555196;East-Central-South-African;India;2007
EF555197;East-Central-South-African;India;2007
EF555198;East-Central-South-African;India;2007
EF555199;East-Central-South-African;India;2007
EF555200;East-Central-South-African;India;2007
EF559252;East-Central-South-African;India;2007
EF613342;East-Central-South-African;Gabon;2007
EF613343;East-Central-South-African;Gabon;2007
EF613344;East-Central-South-African;Gabon;2007
EU170523;East-Central-South-African;India;2007
EU170524;East-Central-South-African;India;2007
EU170525;East-Central-South-African;India;2007
EU170526;East-Central-South-African;India;2007
EU170527;East-Central-South-African;India;2007
EU188923;East-Central-South-African;Reunion;2005
EU188924;East-Central-South-African;Mauritius;2006
EU190880;East-Central-South-African;Italy;2005
EU190882;East-Central-South-African;Italy;2005
EU190883;East-Central-South-African;Italy;2005
EU192142;East-Central-South-African;Singapore;2006
EU192143;Asian and Caribbean;Indonesia;2007
EU244646;East-Central-South-African;Madagascar;2007
EU272129;East-Central-South-African;Italy;2005
EU287994;East-Central-South-African;India;2007
EU287995;East-Central-South-African;India;2007
EU287996;East-Central-South-African;India;2007
EU287997;East-Central-South-African;India;2007
EU287998;East-Central-South-African;India;2007
EU287999;East-Central-South-African;India;2007
EU288000;East-Central-South-African;India;2007
EU288001;East-Central-South-African;India;2007
EU288002;East-Central-South-African;India;2007
EU288003;East-Central-South-African;India;2007
EU372006;East-Central-South-African;India;2007
EU404186;East-Central-South-African;Mauritius;2006
EU441882;East-Central-South-African;Singapore;2008
EU441883;East-Central-South-African;Singapore;2008
EU564334;East-Central-South-African;Mauritius;2006
EU564335;East-Central-South-African;India;2006
EU703759;Asian and Caribbean;Malaysia;2006
EU703760;Asian and Caribbean;Malaysia;2006
EU703761;Asian and Caribbean;Malaysia;2006
EU703762;Asian and Caribbean;Malaysia;2006
EU727159;Could not assign;India;2006
EU727160;East-Central-South-African;India;2006
EU727161;East-Central-South-African;India;2006
EU727162;East-Central-South-African;India;2006
EU727163;East-Central-South-African;India;2006
EU727245;East-Central-South-African;India;2007
EU727246;East-Central-South-African;India;2007
EU727247;East-Central-South-African;India;2007
EU727248;East-Central-South-African;India;2007
EU727249;East-Central-South-African;India;2007
EU886198;East-Central-South-African;India;2006
FJ000062;East-Central-South-African;India;2006
FJ000063;East-Central-South-African;India;2006
FJ000064;East-Central-South-African;India;2006
FJ000065;East-Central-South-African;India;2006
FJ000066;East-Central-South-African;India;2006
FJ000067;East-Central-South-African;India;2006
FJ000068;East-Central-South-African;India;2006
FJ000069;East-Central-South-African;India;2007
FJ002432;East-Central-South-African;India;2006
FJ002433;East-Central-South-African;India;2006
FJ002434;East-Central-South-African;India;2006
FJ002435;East-Central-South-African;India;2006
FJ002436;East-Central-South-African;India;2006
FJ002437;East-Central-South-African;India;2006
FJ002438;East-Central-South-African;India;2006
FJ002439;East-Central-South-African;India;2006
FJ002440;East-Central-South-African;India;2006
FJ002441;East-Central-South-African;India;2006
FJ002442;East-Central-South-African;India;2006
FJ002443;East-Central-South-African;India;2006
FJ002444;East-Central-South-African;India;2006
FJ002445;East-Central-South-African;India;2006
FJ002446;East-Central-South-African;India;2006
FJ002447;East-Central-South-African;India;2006
FJ002448;East-Central-South-African;India;2008
FJ002449;East-Central-South-African;India;2008
FJ002450;East-Central-South-African;India;2008
FJ002451;East-Central-South-African;India;2008
FJ002452;East-Central-South-African;India;2007
FJ002453;East-Central-South-African;India;2007
FJ002454;East-Central-South-African;India;2007
FJ002455;East-Central-South-African;India;2007
FJ002456;East-Central-South-African;India;2007
FJ002457;East-Central-South-African;India;2007
FJ002458;East-Central-South-African;India;2007
FJ002459;East-Central-South-African;India;2007
FJ002460;East-Central-South-African;India;2007
FJ002461;East-Central-South-African;India;2007
FJ002462;East-Central-South-African;India;2007
FJ002463;East-Central-South-African;India;2006
FJ002464;East-Central-South-African;India;2006
FJ002465;East-Central-South-African;India;2006
FJ002466;East-Central-South-African;India;2007
FJ002467;East-Central-South-African;India;2007
FJ002468;East-Central-South-African;India;2007
FJ002469;East-Central-South-African;India;2007
FJ002470;East-Central-South-African;India;2007
FJ002471;East-Central-South-African;India;2007
FJ002472;East-Central-South-African;India;2006
FJ002473;East-Central-South-African;India;2006
FJ002474;East-Central-South-African;India;2006
FJ002475;East-Central-South-African;India;2006
FJ002476;East-Central-South-African;India;2007
FJ002477;East-Central-South-African;India;2007
FJ002478;East-Central-South-African;India;2007
FJ002479;East-Central-South-African;India;2007
FJ002480;East-Central-South-African;India;2007
FJ002481;East-Central-South-African;India;2006
FJ002482;East-Central-South-African;India;2006
FJ002483;East-Central-South-African;India;2006
FJ002485;East-Central-South-African;India;2007
FJ002486;East-Central-South-African;India;2007
FJ002487;East-Central-South-African;India;2008
FJ002488;East-Central-South-African;India;2008
FJ002489;East-Central-South-African;India;2008
FJ002490;East-Central-South-African;India;2008
FJ002491;East-Central-South-African;India;2008
FJ002495;East-Central-South-African;India;2007
FJ002496;East-Central-South-African;India;2006
FJ002497;East-Central-South-African;India;2007
FJ002498;East-Central-South-African;India;2006
FJ002499;East-Central-South-African;India;2006
FJ002500;East-Central-South-African;India;2006
FJ002501;East-Central-South-African;India;2006
FJ002502;East-Central-South-African;India;2006
FJ002503;East-Central-South-African;India;2006
FJ002504;East-Central-South-African;India;2006
FJ002505;East-Central-South-African;India;2006
FJ002506;East-Central-South-African;India;2006
FJ002507;East-Central-South-African;India;2006
FJ002508;East-Central-South-African;India;2006
FJ002509;East-Central-South-African;India;2006
FJ002510;East-Central-South-African;India;2006
FJ002511;East-Central-South-African;India;2006
FJ002514;East-Central-South-African;India;2008
FJ002515;East-Central-South-African;India;2008
FJ002516;East-Central-South-African;India;2008
FJ002517;East-Central-South-African;India;2008
FJ002518;East-Central-South-African;India;2008
FJ002519;East-Central-South-African;India;2008
FJ002520;East-Central-South-African;India;2008
FJ002521;East-Central-South-African;India;2008
FJ002522;East-Central-South-African;India;2008
FJ002523;East-Central-South-African;India;2007
FJ002524;East-Central-South-African;India;2007
FJ002525;East-Central-South-African;India;2006
FJ002526;East-Central-South-African;India;2006
FJ002527;East-Central-South-African;India;2008
FJ002528;East-Central-South-African;India;2006
FJ002529;East-Central-South-African;India;2006
FJ225403;East-Central-South-African;India;2008
FJ432665;East-Central-South-African;India;2008
FJ445424;East-Central-South-African;Sri Lanka;2008
FJ445425;East-Central-South-African;Sri Lanka;2008
FJ445426;East-Central-South-African;Sri Lanka;2008
FJ445427;East-Central-South-African;Sri Lanka;2007
FJ445428;East-Central-South-African;Sri Lanka;2007
FJ445429;East-Central-South-African;Singapore;2008
FJ445430;East-Central-South-African;Singapore;2008
FJ445431;East-Central-South-African;Singapore;2008
FJ445432;East-Central-South-African;Singapore;2008
FJ445433;East-Central-South-African;Singapore;2008
FJ445434;East-Central-South-African;Singapore;2008
FJ445435;East-Central-South-African;Singapore;2008
FJ445436;East-Central-South-African;Singapore;2008
FJ445437;East-Central-South-African;Singapore;2008
FJ445438;East-Central-South-African;Singapore;2008
FJ445439;East-Central-South-African;Singapore;2008
FJ445440;East-Central-South-African;Singapore;2008
FJ445441;East-Central-South-African;Singapore;2008
FJ445442;East-Central-South-African;Singapore;2008
FJ445443;East-Central-South-African;Singapore;2008
FJ445444;East-Central-South-African;Singapore;2008
FJ445445;East-Central-South-African;Singapore;2008
FJ445446;East-Central-South-African;Singapore;2008
FJ445447;East-Central-South-African;Singapore;2008
FJ445448;East-Central-South-African;Singapore;2008
FJ445449;East-Central-South-African;Singapore;2008
FJ445450;East-Central-South-African;Singapore;2008
FJ445451;East-Central-South-African;Singapore;2008
FJ445452;East-Central-South-African;Singapore;2008
FJ445453;East-Central-South-African;Singapore;2008
FJ445454;East-Central-South-African;Singapore;2008
FJ445455;East-Central-South-African;Singapore;2008
FJ445456;East-Central-South-African;Singapore;2008
FJ445457;East-Central-South-African;Singapore;2008
FJ445458;East-Central-South-African;Singapore;2008
FJ445459;East-Central-South-African;Singapore;2008
FJ445460;East-Central-South-African;Singapore;2008
FJ445461;East-Central-South-African;Singapore;2008
FJ445462;East-Central-South-African;Singapore;2008
FJ445463;East-Central-South-African;Singapore;2008
FJ445464;East-Central-South-African;Singapore;2008
FJ445465;East-Central-South-African;Singapore;2008
FJ445466;East-Central-South-African;Singapore;2008
FJ445467;East-Central-South-African;Singapore;2008
FJ445468;East-Central-South-African;Singapore;2008
FJ445469;East-Central-South-African;Singapore;2008
FJ445470;East-Central-South-African;Singapore;2008
FJ445471;East-Central-South-African;Singapore;2008
FJ445472;East-Central-South-African;Singapore;2008
FJ445473;East-Central-South-African;Singapore;2008
FJ445474;East-Central-South-African;Singapore;2008
FJ445475;East-Central-South-African;Singapore;2008
FJ445476;East-Central-South-African;Singapore;2008
FJ445477;East-Central-South-African;Singapore;2008
FJ445478;East-Central-South-African;Singapore;2008
FJ445479;East-Central-South-African;Singapore;2008
FJ445480;East-Central-South-African;Singapore;2008
FJ445481;East-Central-South-African;Singapore;2008
FJ445482;East-Central-South-African;Singapore;2008
FJ445483;Asian and Caribbean;Singapore;2008
FJ445484;East-Central-South-African;Singapore;2008
FJ445485;East-Central-South-African;Singapore;2007
FJ445486;East-Central-South-African;Singapore;2007
FJ445487;East-Central-South-African;Singapore;2008
FJ445488;East-Central-South-African;Singapore;2008
FJ445489;East-Central-South-African;Singapore;2008
FJ445490;East-Central-South-African;Singapore;2008
FJ445491;East-Central-South-African;Singapore;2008
FJ445492;East-Central-South-African;Singapore;2008
FJ445493;East-Central-South-African;Singapore;2008
FJ445494;East-Central-South-African;Singapore;2008
FJ445495;East-Central-South-African;Singapore;2008
FJ445496;East-Central-South-African;Singapore;2008
FJ445497;East-Central-South-African;Singapore;2008
FJ445498;East-Central-South-African;Singapore;2008
FJ445499;East-Central-South-African;Singapore;2008
FJ445500;East-Central-South-African;Singapore;2008
