Acession;Virus;Genotype;Product;Host;Country;Date;Size;Clinic;Gender;Age
AB857773;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857774;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857775;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857776;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857777;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857778;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857779;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857780;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857781;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857782;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857783;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857784;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857785;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857786;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857787;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857788;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857789;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857790;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857791;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857792;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857793;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857794;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857795;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857796;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857797;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857798;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857799;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857800;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857801;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857802;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857803;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857804;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857805;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857806;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857807;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857808;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857809;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857810;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857811;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857812;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857813;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857814;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857815;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857816;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857817;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857818;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857819;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857820;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857821;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857822;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857823;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857824;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857825;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857826;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857827;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857828;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857829;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857830;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857831;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857832;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857833;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857834;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857835;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857836;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857837;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857838;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857839;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857840;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB857841;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Thailand;2010;1320;N/A;N/A;N/A
AB908054;Chikungunya;Could not assign;nsP2;Hs;Angola;2014;292;CHF;F;50
AM258991;Chikungunya;East-Central-South-African;nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Seychelles;2005;11601;CHF;N/A;N/A
